Date/Time,Year,Month,Day,Total Precip (mm),Label
2008-07-02,2008,7,2,0,1
2008-07-03,2008,7,3,0,1
2008-07-04,2008,7,4,0,1
2008-07-05,2008,7,5,0,1
2008-07-06,2008,7,6,0,1
2008-07-07,2008,7,7,0,1
2008-07-08,2008,7,8,0,1
2008-07-09,2008,7,9,0,1
2008-07-10,2008,7,10,3.2,2
2008-07-11,2008,7,11,0.2,2
2008-07-12,2008,7,12,0,1
2008-07-13,2008,7,13,0,1
2008-07-14,2008,7,14,2.3,2
2008-07-15,2008,7,15,0,1
2008-07-16,2008,7,16,0,1
2008-07-17,2008,7,17,0,1
2008-07-18,2008,7,18,0,1
2008-07-19,2008,7,19,0.2,2
2008-07-20,2008,7,20,4.4,3
2008-07-21,2008,7,21,35.8,10
2008-07-22,2008,7,22,84.9,10
2008-07-23,2008,7,23,0.4,2
2008-07-24,2008,7,24,2.1,2
2008-07-25,2008,7,25,2,2
2008-07-26,2008,7,26,2.6,2
2008-07-27,2008,7,27,0.2,2
2008-07-28,2008,7,28,6.6,3
2008-07-29,2008,7,29,0.2,2
2008-07-30,2008,7,30,0.4,2
2008-07-31,2008,7,31,0,1
2008-08-01,2008,8,1,1.4,2
2008-08-02,2008,8,2,37,10
2008-08-03,2008,8,3,4.4,3
2008-08-04,2008,8,4,1.5,2
2008-08-05,2008,8,5,0.4,2
2008-08-06,2008,8,6,0.2,2
2008-08-07,2008,8,7,0.2,2
2008-08-08,2008,8,8,3.2,2
2008-08-09,2008,8,9,0.2,2
2008-08-10,2008,8,10,0,1
2008-08-11,2008,8,11,0,1
2008-08-12,2008,8,12,10.2,4
2008-08-13,2008,8,13,0.2,2
2008-08-14,2008,8,14,14.6,5
2008-08-15,2008,8,15,0.2,2
2008-08-16,2008,8,16,9.6,4
2008-08-17,2008,8,17,7.8,3
2008-08-18,2008,8,18,0.2,2
2008-08-19,2008,8,19,0,1
2008-08-20,2008,8,20,0,1
2008-08-21,2008,8,21,0,1
2008-08-22,2008,8,22,0,1
2008-08-23,2008,8,23,0,1
2008-08-24,2008,8,24,3.4,2
2008-08-25,2008,8,25,9.4,4
2008-08-26,2008,8,26,0,1
2008-08-27,2008,8,27,26.6,8
2008-08-28,2008,8,28,2.4,2
2008-08-29,2008,8,29,2.6,2
2008-08-30,2008,8,30,0.2,2
2008-08-31,2008,8,31,21.8,7
2008-09-01,2008,9,1,3.4,2
2008-09-02,2008,9,2,0.2,2
2008-09-03,2008,9,3,17.1,6
2008-09-04,2008,9,4,0.4,2
2008-09-05,2008,9,5,0.3,2
2008-09-06,2008,9,6,10,4
2008-09-07,2008,9,7,6.1,3
2008-09-08,2008,9,8,0.2,2
2008-09-09,2008,9,9,0.6,2
2008-09-10,2008,9,10,6.2,3
2008-09-11,2008,9,11,0.2,2
2008-09-12,2008,9,12,0.2,2
2008-09-13,2008,9,13,0.2,2
2008-09-14,2008,9,14,1,2
2008-09-15,2008,9,15,0.2,2
2008-09-16,2008,9,16,0.2,2
2008-09-17,2008,9,17,0,1
2008-09-18,2008,9,18,0,1
2008-09-19,2008,9,19,0.2,2
2008-09-20,2008,9,20,0,1
2008-09-21,2008,9,21,0,1
2008-09-22,2008,9,22,0,1
2008-09-23,2008,9,23,0,1
2008-09-24,2008,9,24,0,1
2008-09-25,2008,9,25,0,1
2008-09-26,2008,9,26,0,1
2008-09-27,2008,9,27,0.2,2
